# r=4.000000e+02
# M=2.728000e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
3.977194579000491004e+00 -3.666388574845599879e-02 -2.029223477281673027e+01 4.770080446441583559e-06 4.453945479012240633e-04 3.680000000000000000e+02
3.977185294187341569e+00 -3.666404221614393694e-02 -1.911921424495749733e+01 4.876791410022358720e-06 4.626689056269590134e-04 3.711999999999999886e+02
3.977175480868917923e+00 -3.666419816999917647e-02 -1.794619371709826439e+01 4.983151939125300137e-06 4.809265453006045937e-04 3.743999999999999773e+02
3.977164972844174251e+00 -3.666435509818484484e-02 -1.677317318923901013e+01 5.090176961662052549e-06 5.004766833040086684e-04 3.776000000000000227e+02
3.977153461799688650e+00 -3.666451685558410473e-02 -1.560015266137977719e+01 5.200495508128825901e-06 5.218929355253027706e-04 3.808000000000000114e+02
3.977140410666318626e+00 -3.666469305634353221e-02 -1.442713213352054424e+01 5.320664425801104872e-06 5.461745169558920128e-04 3.840000000000000000e+02
3.977124909533748198e+00 -3.666490785539402303e-02 -1.325411160566131130e+01 5.467157378479330134e-06 5.750143120985155365e-04 3.871999999999999886e+02
3.977105436318640663e+00 -3.666521971516500250e-02 -1.208109107780207658e+01 5.679845742145393564e-06 6.112441509125974594e-04 3.903999999999999773e+02
3.977079519668820673e+00 -3.666575920008768863e-02 -1.090807054994282232e+01 6.047774459520418451e-06 6.594619742367705418e-04 3.936000000000000227e+02
3.977043364655529434e+00 -3.666679421332019045e-02 -9.735050022083589383e+00 6.753653484050275277e-06 7.267282318447099328e-04 3.968000000000000114e+02
3.976991621560871604e+00 -3.666883231552658245e-02 -8.562029494224356441e+00 8.143639188797048377e-06 8.229960524838417007e-04 4.000000000000000000e+02
3.976917633220195203e+00 -3.667274498179315390e-02 -7.389008966365123499e+00 1.081207758264668635e-05 9.606510643587821670e-04 4.031999999999999886e+02
3.976814517163625773e+00 -3.667981414612884322e-02 -6.215988438505889668e+00 1.563324765948312205e-05 1.152498075141771125e-03 4.063999999999999773e+02
3.976677084653525096e+00 -3.669151324503646533e-02 -5.042967910646636298e+00 2.361203311430165543e-05 1.408190710453846063e-03 4.096000000000000227e+02
3.976503870593189216e+00 -3.670896613651324081e-02 -3.869947382787402468e+00 3.551490510175317494e-05 1.730454776853167708e-03 4.128000000000000114e+02
3.976298023129676285e+00 -3.673240268050124990e-02 -2.696926854928169526e+00 5.149862810141920378e-05 2.113433159328539576e-03 4.160000000000000000e+02
3.976066255255069404e+00 -3.676098542384773765e-02 -1.523906327068936140e+00 7.099205906383582697e-05 2.544636362963133801e-03 4.191999999999999886e+02
3.975816397448168615e+00 -3.679286663272360314e-02 -3.508857992097028089e-01 9.273504351724568700e-05 3.009495813270725989e-03 4.223999999999999773e+02
3.975555100895894700e+00 -3.682522240701413541e-02 8.221347286495512829e-01 1.148016815832857021e-04 3.495637003590187832e-03 4.256000000000000227e+02
3.975286918798710989e+00 -3.685470850496126022e-02 1.995155256508784669e+00 1.349112003832238585e-04 3.994588722672332004e-03 4.288000000000000114e+02
