# r=8.000000e+02
# M=2.700297e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
4.310983543576106136e+00 -3.303746577645375049e-02 -2.185226818569985596e+02 4.475069030674543746e-05 3.400874448194548009e-04 2.368799999999999955e+02
4.310983379270466820e+00 -3.303746811438395409e-02 -2.178264621448706180e+02 4.475226858362569833e-05 3.403869579516859427e-04 2.387599999999999909e+02
4.310983219611391526e+00 -3.303747020808086438e-02 -2.171302424327426479e+02 4.475368198534346591e-05 3.406780008503651003e-04 2.406399999999999864e+02
4.310983064215855975e+00 -3.303747209112313510e-02 -2.164340227206146778e+02 4.475495317918463516e-05 3.409612717325707747e-04 2.425199999999999818e+02
4.310982912709770964e+00 -3.303747379493762043e-02 -2.157378030084867362e+02 4.475610338069185476e-05 3.412374525277516932e-04 2.443999999999999773e+02
4.310982764728275463e+00 -3.303747534889149573e-02 -2.150415832963587661e+02 4.475715241544412195e-05 3.415072083392409414e-04 2.462799999999999727e+02
4.310982619916044811e+00 -3.303747678038369134e-02 -2.143453635842307961e+02 4.475811877933211458e-05 3.417711868903023785e-04 2.481599999999999966e+02
4.310982477927550072e+00 -3.303747811492974140e-02 -2.136491438721028544e+02 4.475901969732398858e-05 3.420300180473352224e-04 2.500399999999999920e+02
4.310982338427322702e+00 -3.303747937624731262e-02 -2.129529241599748843e+02 4.475987118069162855e-05 3.422843133364180551e-04 2.519199999999999875e+02
4.310982201090180155e+00 -3.303748058633908941e-02 -2.122567044478469143e+02 4.476068808270154621e-05 3.425346655316536290e-04 2.537999999999999829e+02
4.310982065601454138e+00 -3.303748176557171762e-02 -2.115604847357189726e+02 4.476148415274301651e-05 3.427816482454815010e-04 2.556799999999999784e+02
4.310981931657172694e+00 -3.303748293275605291e-02 -2.108642650235909741e+02 4.476227208890045826e-05 3.430258155859751152e-04 2.575600000000000023e+02
4.310981798964250267e+00 -3.303748410521953338e-02 -2.101680453114630325e+02 4.476306358894455324e-05 3.432677018225436757e-04 2.594399999999999977e+02
4.310981667240632476e+00 -3.303748529888116819e-02 -2.094718255993350340e+02 4.476386939975531091e-05 3.435078211125515988e-04 2.613199999999999932e+02
4.310981536215439114e+00 -3.303748652832388943e-02 -2.087756058872071208e+02 4.476469936515988033e-05 3.437466672407584389e-04 2.631999999999999886e+02
4.310981405629082275e+00 -3.303748780685969444e-02 -2.080793861750791223e+02 4.476556247220776942e-05 3.439847134141599196e-04 2.650799999999999841e+02
4.310981275233362275e+00 -3.303748914659870861e-02 -2.073831664629512090e+02 4.476646689587321197e-05 3.442224120744589045e-04 2.669599999999999795e+02
4.310981144791547592e+00 -3.303749055851169097e-02 -2.066869467508232106e+02 4.476742004221105587e-05 3.444601947622332968e-04 2.688399999999999750e+02
4.310981014078431706e+00 -3.303749205249185278e-02 -2.059907270386952689e+02 4.476842858995957916e-05 3.446984720036721486e-04 2.707199999999999704e+02
4.310980882880375731e+00 -3.303749363741408096e-02 -2.052945073265672704e+02 4.476949853061795552e-05 3.449376332454708385e-04 2.725999999999999659e+02
4.310980750995322630e+00 -3.303749532119347465e-02 -2.045982876144393572e+02 4.477063520699769853e-05 3.451780468155491799e-04 2.744799999999999613e+02
4.310980618232798989e+00 -3.303749711083796975e-02 -2.039020679023113587e+02 4.477184335027987875e-05 3.454200599274407052e-04 2.763599999999999568e+02
4.310980484413898139e+00 -3.303749901250229576e-02 -2.032058481901833886e+02 4.477312711558500518e-05 3.456639987124509152e-04 2.782400000000000091e+02
4.310980349371238418e+00 -3.303750103153927503e-02 -2.025096284780554470e+02 4.477449011608938465e-05 3.459101682915073574e-04 2.801200000000000045e+02
